interaction_id,user_id,resource_id,rating,completed,time_spent_minutes,interaction_date
1,196,242,3,True,120,1997-12-04T15:55:49
2,186,302,3,True,120,1998-04-04T19:22:22
3,22,377,1,True,120,1997-11-07T07:18:36
4,244,51,2,True,120,1997-11-27T05:02:03
5,166,346,1,True,120,1998-02-02T05:33:16
6,298,474,4,True,120,1998-01-07T14:20:06
7,115,265,2,True,120,1997-12-03T17:51:28
8,253,465,5,True,120,1998-04-03T18:34:27
9,305,451,3,True,120,1998-02-01T09:20:17
10,6,86,3,True,120,1997-12-31T21:16:53
11,62,257,2,True,120,1997-11-12T22:07:14
12,286,1014,5,True,120,1997-11-17T15:38:45
13,200,222,5,True,120,1997-10-05T09:05:40
14,210,40,3,True,120,1998-03-27T21:59:54
15,224,29,3,True,120,1998-02-21T23:40:57
16,303,785,3,True,120,1997-11-14T05:28:38
17,122,387,5,True,120,1997-11-11T17:47:39
18,194,274,2,True,120,1997-11-14T20:36:34
19,291,1042,4,True,120,1997-09-21T09:42:24
20,234,1184,2,True,120,1998-04-08T23:47:17
21,119,392,4,True,120,1998-01-30T16:13:34
22,167,486,4,True,120,1998-04-16T14:54:12
23,299,144,4,True,120,1997-10-26T15:55:20
24,291,118,2,True,120,1997-09-21T09:24:38
25,308,1,4,True,120,1998-02-17T17:28:52
26,95,546,2,True,120,1997-11-10T21:16:06
27,38,95,5,True,120,1998-04-13T01:14:54
28,102,768,2,True,120,1998-01-02T13:40:50
29,63,277,4,True,120,1997-10-01T23:10:01
30,160,234,5,True,120,1997-10-14T20:33:05
31,50,246,3,True,120,1997-10-17T01:38:49
32,301,98,4,True,120,1997-12-14T05:03:47
33,225,193,4,True,120,1997-11-14T20:35:27
34,290,88,4,True,120,1997-11-28T15:46:03
35,97,194,3,True,120,1998-01-08T05:54:20
36,157,274,4,True,120,1998-02-07T22:33:55
37,181,1081,1,True,120,1997-11-08T04:17:03
38,278,603,5,True,120,1998-03-30T22:02:10
39,276,796,1,True,120,1997-09-20T21:45:32
40,7,32,4,True,120,1998-03-31T13:28:52
41,10,16,4,True,120,1997-10-26T18:01:17
42,284,304,4,True,120,1998-01-20T20:48:42
43,201,979,2,True,120,1998-01-06T19:17:13
44,276,564,3,True,120,1997-09-20T21:43:25
45,287,327,5,True,120,1997-09-27T04:18:36
46,246,201,5,True,120,1998-01-16T03:33:14
47,242,1137,5,True,120,1997-11-17T04:33:16
48,249,241,5,True,120,1997-11-16T00:46:34
49,99,4,5,True,120,1998-02-03T15:18:17
50,178,332,3,True,120,1997-12-22T20:43:57
51,251,100,4,True,120,1998-01-31T18:38:04
52,81,432,2,True,120,1997-10-11T01:58:51
53,260,322,4,True,120,1998-03-23T02:08:18
54,25,181,5,True,120,1998-01-26T22:23:35
55,59,196,5,True,120,1998-02-23T03:38:08
56,72,679,2,True,120,1997-11-20T14:46:04
57,87,384,4,True,120,1997-11-18T18:18:47
58,290,143,5,True,120,1997-11-25T16:11:33
59,42,423,5,True,120,1997-12-03T00:08:07
60,292,515,4,True,120,1997-12-02T23:06:17
61,115,20,3,True,120,1997-12-03T17:43:29
62,20,288,1,True,120,1997-11-16T08:06:24
63,201,219,4,True,120,1998-01-06T18:51:13
64,13,526,3,True,120,1997-12-14T23:10:53
65,246,919,4,True,120,1998-01-16T03:22:29
66,138,26,5,True,120,1997-11-08T21:23:52
67,167,232,1,True,120,1998-04-16T14:52:21
68,60,427,5,True,120,1997-12-28T16:30:20
69,57,304,5,True,120,1998-01-01T23:49:41
70,223,274,4,True,120,1998-04-02T20:48:14
71,189,512,4,True,120,1998-04-22T20:41:42
72,243,15,3,True,120,1997-11-20T00:57:20
73,92,1049,1,True,120,1998-03-18T20:10:26
74,246,416,3,True,120,1998-01-16T03:57:27
75,194,165,4,True,120,1997-11-14T22:32:03
76,241,690,2,True,120,1998-02-12T02:11:22
77,178,248,4,True,120,1997-12-22T20:52:34
78,254,1444,3,True,120,1998-02-03T03:12:38
79,293,5,3,True,120,1998-03-03T06:29:36
80,127,229,5,True,120,1998-01-09T16:54:27
81,225,237,5,True,120,1997-11-14T20:34:03
82,299,229,3,True,120,1997-10-30T06:20:29
83,225,480,5,True,120,1997-11-14T20:52:28
84,276,54,3,True,120,1997-09-20T21:30:25
85,291,144,5,True,120,1997-09-21T09:44:51
86,222,366,4,True,120,1997-10-30T03:49:41
87,267,518,5,True,120,1997-11-08T06:49:33
88,42,403,3,True,120,1997-12-03T00:24:44
89,11,111,4,True,120,1998-04-06T23:04:22
90,95,625,4,True,120,1998-03-03T19:46:52
91,8,338,4,True,120,1997-11-12T19:11:13
92,162,25,4,True,120,1997-10-23T19:39:33
93,87,1016,4,True,120,1997-11-18T18:03:14
94,279,154,5,True,120,1997-09-26T17:51:31
95,145,275,2,True,120,1998-01-23T12:11:45
96,119,1153,5,True,120,1997-09-20T18:46:38
97,62,498,4,True,120,1997-11-12T22:30:48
98,62,382,3,True,120,1997-11-12T22:58:57
99,28,209,4,True,120,1997-12-12T21:13:34
100,135,23,4,True,120,1997-11-18T12:56:05
101,32,294,3,True,120,1998-01-02T02:57:43
102,90,382,5,True,120,1998-03-31T22:37:15
103,286,208,4,True,120,1997-10-22T14:52:22
104,293,685,3,True,120,1998-03-03T06:06:10
105,216,144,4,True,120,1997-11-22T21:37:19
106,166,328,5,True,120,1998-02-02T05:35:22
107,250,496,4,True,120,1997-10-29T02:01:39
108,271,132,5,True,120,1998-01-26T21:04:32
109,160,174,5,True,120,1997-10-14T20:26:47
110,265,118,4,True,120,1997-09-27T00:38:34
111,198,498,3,True,120,1998-01-07T21:11:32
112,42,96,5,True,120,1997-12-02T23:59:38
113,168,151,5,True,120,1998-01-08T19:34:18
114,110,307,4,True,120,1998-02-09T01:21:00
115,58,144,4,True,120,1998-01-09T00:15:36
116,90,648,4,True,120,1998-03-31T22:52:34
117,271,346,4,True,120,1998-01-26T19:53:50
118,62,21,3,True,120,1997-11-12T22:24:20
119,279,832,3,True,120,1997-12-06T02:37:34
120,237,514,4,True,120,1997-11-12T23:17:21
121,94,789,4,True,120,1998-04-04T20:14:47
122,128,485,3,True,120,1997-11-19T19:14:55
123,298,317,4,True,120,1998-01-07T14:20:06
124,44,195,5,True,120,1997-11-01T01:31:14
125,264,200,5,True,120,1998-01-30T01:05:52
126,194,385,2,True,120,1997-11-14T16:24:03
127,72,195,5,True,120,1997-11-20T14:55:02
128,222,750,5,True,120,1998-01-03T08:12:00
129,250,264,3,True,120,1997-10-29T01:39:42
130,41,265,3,True,120,1998-03-23T21:04:02
131,224,245,3,True,120,1998-02-21T17:30:16
132,82,135,3,True,120,1997-11-05T22:40:29
133,262,1147,4,True,120,1997-11-17T18:35:10
134,293,471,3,True,120,1998-03-03T06:01:24
135,216,658,3,True,120,1997-11-23T00:30:29
136,250,140,3,True,120,1997-10-29T02:27:39
137,59,23,5,True,120,1998-02-23T03:41:40
138,286,379,5,True,120,1997-10-22T15:22:51
139,244,815,4,True,120,1997-11-27T04:33:05
140,7,479,4,True,120,1998-03-31T13:46:50
141,174,368,1,True,120,1998-02-02T15:46:42
142,87,274,4,True,120,1997-11-18T18:12:14
143,194,1211,2,True,120,1997-11-14T23:49:40
144,82,1134,2,True,120,1998-01-13T18:00:02
145,13,836,2,True,120,1997-12-14T22:49:06
146,13,272,4,True,120,1998-01-11T17:06:43
147,244,756,2,True,120,1997-11-27T04:32:37
148,305,427,5,True,120,1998-02-01T08:51:30
149,95,787,2,True,120,1998-03-03T19:55:30
150,43,14,2,True,120,1998-01-04T23:15:45
151,299,955,4,True,120,1998-03-10T04:07:03
152,57,419,3,True,120,1998-01-01T23:47:34
153,84,405,3,True,120,1997-12-30T03:26:03
154,269,504,4,True,120,1998-04-01T16:58:42
155,299,111,3,True,120,1997-10-26T15:03:04
156,194,466,4,True,120,1997-11-14T16:44:36
157,160,135,4,True,120,1997-10-14T20:26:47
158,99,268,3,True,120,1998-01-24T21:44:07
159,10,486,4,True,120,1997-10-26T17:27:26
160,259,117,4,True,120,1997-09-20T03:09:48
161,85,427,3,True,120,1997-11-13T21:25:50
162,303,919,4,True,120,1997-11-14T00:28:15
163,213,273,5,True,120,1997-11-07T02:49:47
164,121,514,3,True,120,1998-03-31T23:45:47
165,90,98,5,True,120,1998-03-31T22:26:44
166,49,559,2,True,120,1998-02-21T13:23:25
167,42,794,3,True,120,1997-12-03T00:20:25
168,155,323,2,True,120,1997-11-12T21:47:41
169,68,117,4,True,120,1997-10-16T03:52:19
170,172,177,4,True,120,1997-09-29T12:59:25
171,19,4,4,True,120,1998-01-21T20:00:40
172,268,231,4,True,120,1997-10-01T22:15:36
173,5,2,3,True,120,1997-09-30T16:14:13
174,305,117,2,True,120,1998-02-01T09:07:08
175,44,294,4,True,120,1997-12-31T23:52:36
176,43,137,4,True,120,1997-10-04T14:34:16
177,279,1336,1,True,120,1997-09-26T18:25:53
178,80,466,5,True,120,1998-02-13T20:28:21
179,254,164,4,True,120,1998-02-03T02:26:08
180,298,281,3,True,120,1998-01-07T14:28:56
181,279,1240,1,True,120,1998-04-10T02:13:24
182,66,298,4,True,120,1997-12-31T20:48:44
183,18,443,3,True,120,1997-11-21T16:36:33
184,268,1035,2,True,120,1997-09-29T14:09:34
185,99,79,4,True,120,1998-01-24T22:15:38
186,13,98,4,True,120,1997-12-07T17:16:51
187,26,258,3,True,120,1998-03-31T12:39:09
188,7,455,4,True,120,1998-03-31T14:04:46
189,222,755,4,True,120,1997-10-30T03:51:21
190,200,673,5,True,120,1998-01-06T23:15:54
191,119,328,4,True,120,1997-10-15T13:58:33
192,213,172,5,True,120,1997-11-08T02:17:22
