resource_id,title,description,domain,resource_type,difficulty,duration_minutes,url,tags,created_at
1,Toy Story (1995),Educational resource: Toy Story (1995),Art,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Toy%20Story%20(1995),Animation|Children's|Comedy,1995-01-01T00:00:00
2,GoldenEye (1995),Educational resource: GoldenEye (1995),General,Video,Intermediate,120,http://us.imdb.com/M/title-exact?GoldenEye%20(1995),Action|Adventure|Thriller,1995-01-01T00:00:00
3,Four Rooms (1995),Educational resource: Four Rooms (1995),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Four%20Rooms%20(1995),Thriller,1995-01-01T00:00:00
4,Get Shorty (1995),Educational resource: Get Shorty (1995),General,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Get%20Shorty%20(1995),Action|Comedy|Drama,1995-01-01T00:00:00
5,Copycat (1995),Educational resource: Copycat (1995),History,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Copycat%20(1995),Crime|Drama|Thriller,1995-01-01T00:00:00
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Educational resource: Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Literature,Video,Intermediate,120,http://us.imdb.com/Title?Yao+a+yao+yao+dao+waipo+qiao+(1995),Drama,1995-01-01T00:00:00
7,Twelve Monkeys (1995),Educational resource: Twelve Monkeys (1995),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Twelve%20Monkeys%20(1995),Drama|Sci-Fi,1995-01-01T00:00:00
8,Babe (1995),Educational resource: Babe (1995),General,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Babe%20(1995),Children's|Comedy|Drama,1995-01-01T00:00:00
9,Dead Man Walking (1995),Educational resource: Dead Man Walking (1995),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Dead%20Man%20Walking%20(1995),Drama,1995-01-01T00:00:00
10,Richard III (1995),Educational resource: Richard III (1995),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Richard%20III%20(1995),Drama|War,1996-01-01T00:00:00
11,Seven (Se7en) (1995),Educational resource: Seven (Se7en) (1995),History,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Se7en%20(1995),Crime|Thriller,1995-01-01T00:00:00
12,"Usual Suspects, The (1995)","Educational resource: Usual Suspects, The (1995)",History,Video,Intermediate,120,"http://us.imdb.com/M/title-exact?Usual%20Suspects,%20The%20(1995)",Crime|Thriller,1995-01-01T00:00:00
13,Mighty Aphrodite (1995),Educational resource: Mighty Aphrodite (1995),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Mighty%20Aphrodite%20(1995),Comedy,1995-01-01T00:00:00
14,"Postino, Il (1994)","Educational resource: Postino, Il (1994)",Literature,Video,Intermediate,120,"http://us.imdb.com/M/title-exact?Postino,%20Il%20(1994)",Drama|Romance,1994-01-01T00:00:00
15,Mr. Holland's Opus (1995),Educational resource: Mr. Holland's Opus (1995),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Mr.%20Holland's%20Opus%20(1995),Drama,1996-01-01T00:00:00
16,French Twist (Gazon maudit) (1995),Educational resource: French Twist (Gazon maudit) (1995),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Gazon%20maudit%20(1995),Comedy|Romance,1995-01-01T00:00:00
17,From Dusk Till Dawn (1996),Educational resource: From Dusk Till Dawn (1996),General,Video,Intermediate,120,http://us.imdb.com/M/title-exact?From%20Dusk%20Till%20Dawn%20(1996),Action|Comedy|Crime|Horror|Thriller,1996-01-01T00:00:00
18,"White Balloon, The (1995)","Educational resource: White Balloon, The (1995)",Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Badkonake%20Sefid%20(1995),Drama,1995-01-01T00:00:00
19,Antonia's Line (1995),Educational resource: Antonia's Line (1995),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Antonia%20(1995),Drama,1995-01-01T00:00:00
20,Angels and Insects (1995),Educational resource: Angels and Insects (1995),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Angels%20and%20Insects%20(1995),Drama|Romance,1995-01-01T00:00:00
21,Muppet Treasure Island (1996),Educational resource: Muppet Treasure Island (1996),General,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Muppet%20Treasure%20Island%20(1996),Action|Adventure|Comedy|Musical|Thriller,1996-01-01T00:00:00
22,Braveheart (1995),Educational resource: Braveheart (1995),General,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Braveheart%20(1995),Action|Drama|War,1996-01-01T00:00:00
23,Taxi Driver (1976),Educational resource: Taxi Driver (1976),Literature,Video,Intermediate,120,http://us.imdb.com/M/title-exact?Taxi%20Driver%20(1976),Drama|Thriller,1996-01-01T00:00:00
